current_name,new_name
A380_COCKPIT_LEATHER02_4K_ALBEDO.PNG,A380X_COCKPIT_LEATHER02_ALBD.PNG
A380_COCKPIT_LEATHER02_4K_COMP.PNG,A380X_COCKPIT_LEATHER02_COMP.PNG
A380_COCKPIT_LEATHER02_4K_NORMAL.PNG,A380X_COCKPIT_LEATHER02_NORM.PNG
A380_COCKPIT_LEATHER03_4K_ALBEDO.PNG,A380X_COCKPIT_LEATHER03_ALBD.PNG
A380_COCKPIT_LEATHER03_4K_COMP.PNG,A380X_COCKPIT_LEATHER03_COMP.PNG
A380_COCKPIT_LEATHER03_4K_NORMAL.PNG,A380X_COCKPIT_LEATHER03_NORM.PNG
A380_COCKPIT_MIP_KNOB01_4K_ALBEDO.PNG,A380X_COCKPIT_MIP_KNOB01_ALBD.PNG
A380_COCKPIT_MIP_KNOB01_4K_COMP.PNG,A380X_COCKPIT_MIP_KNOB01_COMP.PNG
A380_COCKPIT_MIP_KNOB01_4K_EMMIS.PNG,A380X_COCKPIT_MIP_KNOB01_EMIS.PNG
A380_COCKPIT_MIP_KNOB01_4K_NORMAL.PNG,A380X_COCKPIT_MIP_KNOB01_NORM.PNG
A380_COCKPIT_MIP_KNOBS_02_4K_ALBEDO.PNG,A380X_COCKPIT_MIP_KNOBS_02_ALBD.PNG
A380_COCKPIT_MIP_KNOBS_02_4K_COMP.PNG,A380X_COCKPIT_MIP_KNOBS_02_COMP.PNG
A380_COCKPIT_MIP_KNOBS_02_4K_EMMIS.PNG,A380X_COCKPIT_MIP_KNOBS_02_EMIS.PNG
A380_COCKPIT_MIP_KNOBS_02_4K_NORMAL.PNG,A380X_COCKPIT_MIP_KNOBS_02_NORM.PNG
A380_COCKPIT_MIP01_8K_ALBEDO.PNG,A380X_COCKPIT_MIP01_ALBD.PNG
A380_COCKPIT_MIP01_8K_COMP.PNG,A380X_COCKPIT_MIP01_COMP.PNG
A380_COCKPIT_MIP01_8K_NORMAL.PNG,A380X_COCKPIT_MIP01_NORM.PNG
A380_COCKPIT_MIP02_4K_ALBEDO.PNG,A380X_COCKPIT_MIP02_ALBD.PNG
A380_COCKPIT_MIP02_4K_COMP.PNG,A380X_COCKPIT_MIP02_COMP.PNG
A380_COCKPIT_MIP02_4K_NORMAL.PNG,A380X_COCKPIT_MIP02_NORM.PNG
A380_COCKPIT_MIP03_4K_ALBEDO.PNG,A380X_COCKPIT_MIP03_ALBD.PNG
A380_COCKPIT_MIP03_4K_COMP.PNG,A380X_COCKPIT_MIP03_COMP.PNG
A380_COCKPIT_MIP03_4K_EMMIS.PNG,A380X_COCKPIT_MIP03_EMIS.PNG
A380_COCKPIT_MIP03_4K_NORMAL.PNG,A380X_COCKPIT_MIP03_NORM.PNG
A380_COCKPIT_MIP04_4K_ALBEDO.PNG,A380X_COCKPIT_MIP04_ALBD.PNG
A380_COCKPIT_MIP04_4K_COMP.PNG,A380X_COCKPIT_MIP04_COMP.PNG
A380_COCKPIT_MIP04_4K_NORMAL.PNG,A380X_COCKPIT_MIP04_NORM.PNG
A380_COCKPIT_MISC_STUFF_ALBEDO.PNG,A380X_COCKPIT_MISC_STUFF_ALBD.PNG
A380_COCKPIT_MISC_STUFF_COMP.PNG,A380X_COCKPIT_MISC_STUFF_COMP.PNG
A380_COCKPIT_MISC_STUFF_NORMAL.PNG,A380X_COCKPIT_MISC_STUFF_NORM.PNG
A380_COCKPIT_MISC01_4K_ALBEDO.PNG,A380X_COCKPIT_MISC01_ALBD.PNG
A380_COCKPIT_MISC01_4K_COMP.PNG,A380X_COCKPIT_MISC01_COMP.PNG
A380_COCKPIT_MISC01_4K_NORMAL.PNG,A380X_COCKPIT_MISC01_NORM.PNG
A380_COCKPIT_MISC02_ALBEDO.PNG,A380X_COCKPIT_MISC02_ALBD.PNG
